UTC Date Time,Latitude,Longitude,Altitude,Temperature,Humidity,Pressure,Wind Speed,Batteryoltage
2019-11-19T08:00:28+00:00,-51.812467,17.75815,19,-13,39,101357,4,5.5
2019-11-19T12:00:05+00:00,-51.799517,17.703217,30,-14,48,101375,4,5.5
2019-11-19T16:00:29+00:00,-51.800267,17.685633,8178,-16,38,101369,8,5.6
2019-11-19T20:00:28+00:00,-51.778733,17.690067,16,-18,39,101345,8,5.5
2019-11-20T00:00:28+00:00,-51.751067,17.645833,8175,-18,39,101359,9,5.6
2019-11-20T04:00:28+00:00,-51.74855,17.604033,23,-18,42,101420,4,5.4
2019-11-20T08:00:28+00:00,-51.732583,17.59645,16,-17,48,101347,10,5.5
2019-11-20T11:59:52+00:00,-51.690983,17.570067,8182,-15,39,101400,5,5.6
2019-11-20T16:00:30+00:00,-51.669767,17.49845,7915,-15,42,101397,9,5.6
2019-11-20T20:00:28+00:00,-51.668433,17.497083,8175,-17,45,101402,7,5.6
2019-11-21T00:00:28+00:00,-51.643467,17.5273,8176,-18,48,101376,10,5.6
2019-11-21T04:00:10+00:00,-51.608417,17.504683,22,-19,45,101365,4,5.4
2019-11-21T08:00:05+00:00,-51.60535,17.4961,7955,-12,47,101328,8,5.6
2019-11-21T12:00:04+00:00,-51.585633,17.548583,33,-8,38,101388,8,5.6
2019-11-21T16:00:29+00:00,-51.544567,17.584517,8178,-15,48,101408,10,5.6
2019-11-21T20:00:28+00:00,-51.52345,17.591,8176,-17,46,101333,7,5.6
2019-11-22T00:00:28+00:00,-51.515733,17.64345,8178,-18,39,101418,6,5.6
2019-11-22T04:00:14+00:00,-51.492417,17.723533,28,-18,38,101334,7,5.5
2019-11-22T08:00:28+00:00,-51.46365,17.7469,16,-14,40,101397,10,5.5
2019-11-22T11:59:58+00:00,-51.469817,17.7842,69,-12,43,101396,6,5.5
2019-11-22T16:00:11+00:00,-51.4629,17.8723,8177,-14,43,101346,5,5.6
2019-11-22T20:00:28+00:00,-51.4309,17.911433,14,-18,43,101389,5,5.5
2019-11-23T00:00:28+00:00,-51.435583,17.902733,8177,-18,46,101377,6,5.6
2019-11-23T04:00:10+00:00,-51.457533,17.9601,21,-19,40,101407,9,5.5
2019-11-23T08:00:10+00:00,-51.443,18.0171,8176,-17,38,101396,6,5.6
2019-11-23T12:00:06+00:00,-51.435417,17.997933,5379,-11,38,101333,4,5.6
2019-11-23T16:00:29+00:00,-51.472733,18.0123,8180,-15,42,101412,6,5.6
2019-11-23T20:00:28+00:00,-51.4803,18.079133,14,-18,41,101330,5,5.5
2019-11-24T00:00:29+00:00,-51.455533,18.086217,8180,-18,40,101354,7,5.6
2019-11-24T04:00:10+00:00,-51.45525,18.0213,13,-18,47,101355,8,5.5
2019-11-24T08:00:10+00:00,-51.466267,18.008617,8177,-16,47,101390,5,5.6
2019-11-24T12:00:28+00:00,-51.4449,18.0049,18,-14,41,101388,4,5.5
2019-11-24T16:00:28+00:00,-51.425,17.936017,8179,-17,45,101380,7,5.6
2019-11-24T20:00:28+00:00,-51.419317,17.898483,19,-19,39,101348,5,5.5
2019-11-25T00:00:28+00:00,-51.388817,17.90075,8179,-18,48,101386,8,5.6
2019-11-25T04:00:10+00:00,-51.339583,17.8582,14,-17,42,101355,6,5.5
2019-11-25T08:00:28+00:00,-51.2975,17.818083,16,-15,39,101377,5,5.5
2019-11-25T12:00:28+00:00,-51.263667,17.814583,16,-13,48,101336,7,5.5
2019-11-25T16:00:28+00:00,-51.2501,17.788367,8177,-14,46,101360,8,5.6
2019-11-25T20:00:28+00:00,-51.2453,17.751233,8177,-15,38,101337,8,5.6
2019-11-26T00:00:11+00:00,-51.225667,17.726,8181,-16,46,101405,11,5.6
2019-11-26T04:00:28+00:00,-51.20825,17.698333,17,-15,47,101351,11,5.5
2019-11-26T08:00:28+00:00,-51.191133,17.691567,16,-9,48,101367,7,5.5
2019-11-26T12:00:29+00:00,-51.17585,17.6602,13,-6,40,101343,11,5.6
2019-11-26T16:00:28+00:00,-51.172083,17.635533,13,-13,40,101356,5,5.6
